model,metric,mean,sem
deepseek,correctness,5.0,0.0
deepseek,faithfulness,5.0,0.0
deepseek,helpfulness,5.0,0.0
deepseek,relevance,5.0,0.0
deepseek,truthfulness,5.0,0.0
deepseek,virality,3.6666666666666665,0.12066228480009847
deepseek_rag,correctness,2.9,0.33682083644286165
deepseek_rag,faithfulness,3.466666666666667,0.2784742227214334
deepseek_rag,helpfulness,4.866666666666666,0.13333333333333333
deepseek_rag,relevance,4.733333333333333,0.1262485537263998
deepseek_rag,truthfulness,4.833333333333333,0.08419098886082753
deepseek_rag,virality,3.8666666666666667,0.10431311544403152
gemini,correctness,4.933333333333334,0.04632055558531009
gemini,faithfulness,5.0,0.0
gemini,helpfulness,4.933333333333334,0.04632055558531009
gemini,relevance,4.866666666666666,0.06312427686319992
gemini,truthfulness,4.966666666666667,0.033333333333333326
gemini,virality,3.566666666666667,0.10376070318239083
gemini_rag,correctness,2.7333333333333334,0.29138327776210315
gemini_rag,faithfulness,3.433333333333333,0.2782677670726002
gemini_rag,helpfulness,4.733333333333333,0.09509019714917903
gemini_rag,relevance,4.5,0.15720255620746415
gemini_rag,truthfulness,4.766666666666667,0.10376070318239086
gemini_rag,virality,3.566666666666667,0.0920186554465537
llama,correctness,4.833333333333333,0.13631718702690135
llama,faithfulness,4.866666666666666,0.13333333333333336
llama,helpfulness,4.9,0.10000000000000003
llama,relevance,4.8,0.11141720290623111
llama,truthfulness,4.933333333333334,0.06666666666666668
llama,virality,2.9,0.07350033231608354
llama_rag,correctness,3.3333333333333335,0.2929569162680274
llama_rag,faithfulness,3.6666666666666665,0.2552138311629254
llama_rag,helpfulness,4.6,0.16329931618554522
llama_rag,relevance,4.366666666666666,0.1824692279730698
llama_rag,truthfulness,4.666666666666667,0.12066228480009848
llama_rag,virality,3.2333333333333334,0.14128583022990943
mistral,correctness,4.966666666666667,0.033333333333333326
mistral,faithfulness,5.0,0.0
mistral,helpfulness,4.9,0.05570860145311556
mistral,relevance,4.966666666666667,0.033333333333333326
mistral,truthfulness,4.9,0.05570860145311556
mistral,virality,3.0,0.09589266029707683
mistral_rag,correctness,2.3,0.3075673928579317
mistral_rag,faithfulness,2.566666666666667,0.27826776707260026
mistral_rag,helpfulness,4.633333333333334,0.17605728778546906
mistral_rag,relevance,4.4,0.1701925886793526
mistral_rag,truthfulness,4.633333333333334,0.12208281844464015
mistral_rag,virality,3.2666666666666666,0.1064941133048319
